,Latitude_casas,Longitude_casas,,,Latitude_departamentos,Longitude_departamentos
,,,,,19.3506454,-99.2965819
,19.3904162,-99.2550003,,,19.3967542,-99.1647757
,19.3533712,-99.2018228,,,19.4062685,-99.1638378
,19.3610502,-99.1367707,,,19.3310877,-99.2560395
,19.3205819,-99.2099873,,,35.6961511,-105.9373359
,19.2933566,-99.1076677,,,19.4131592,-99.2305331
,19.3900741,-99.2421612,,,19.3888621,-99.24059
,19.2991252,-99.1567762,,,19.3795025,-99.2643705
,52.5200066,13.404954,,,19.4344442,-99.1536723
,-26.928572,-49.3653149,,,19.4433547,-99.2012755
,19.3295108,-99.2293924,,,19.3967542,-99.1647757
,37.33874,-121.8852525,,,19.3033068,-99.2244228
,19.3151272,-99.2123853,,,19.4015324,-99.1631844
,19.4173598,-99.2151756,,,19.3498899,-99.19752
,19.3319317,-99.2466874,,,,
,19.2971989,-99.1324714,,,19.4405567,-99.2033862
,19.3311449,-99.2145027,,,,
,,,,,19.4405567,-99.2033862
,19.3823251,-99.1553049,,,19.3594634,-99.270349
,19.4047087,-99.2379301,,,19.4346086,-99.1926592
,19.3481084,-99.2045371,,,19.3904162,-99.2550003
,19.3957537,-99.1816949,,,19.4075662,-99.2492685
,,,,,19.413879,-99.160909
,19.3518888,-99.1960738,,,19.4434105,-99.2042709
,19.326932,-99.2015762,,,,
,19.3904162,-99.2550003,,,19.4414275,-99.202481
,19.3904162,-99.2550003,,,19.3666022,-99.2638533
,19.3575076,-99.2878715,,,19.3792101,-99.2629804
,17.0297996,-97.9221766,,,19.3371513,-99.2321879
,,,,,21.1181016,-101.7082067
,,,,,19.384642,-99.2650527
,,,,,,
,25.8158217,-100.0912246,,,19.4132355,-99.1714882
,19.3559517,-99.1965238,,,19.2790911,-99.2114234
,,,,,19.3066886,-99.1838193
,19.5109537,-99.1442316,,,19.4116348,-99.1604889
,20.9299997,-89.0227126,,,19.3436827,-99.2122516
,19.4908853,-99.1331631,,,,
,,,,,19.3641184,-99.1671183
,,,,,19.371969,-99.2670166
,19.3562906,-99.1928292,,,19.3967542,-99.1647757
,,,,,19.4178619,-99.1642576
,,,,,19.4116055,-99.1645168
,19.3846808,-99.2585225,,,19.4016747,-99.1560125
,16.688624,-98.4072255,,,,
,19.3863106,-99.2420509,,,19.2988925,-99.1434026
,19.3995463,-99.2288964,,,19.3723335,-99.1905974
,19.5245668,-99.1526169,,,19.3702038,-99.147465
,19.2944741,-99.1661254,,,19.3611532,-99.1722988
,,,,,19.4699545,-99.1591143
,19.3692755,-99.268013,,,19.3641029,-99.2773112
,19.3271667,-99.2245237,,,19.4270375,-99.1738769
,19.3105979,-99.1959464,,,19.4116348,-99.1604889
,19.3295108,-99.2293924,,,19.421366,-99.1689584
,19.3582325,-99.1471924,,,19.3673542,-99.1438539
,19.3125794,-99.2362974,,,37.4117554,-1.5827678
,19.2780551,-99.1789964,,,19.4306406,-99.1695675
,19.3177924,-99.1991123,,,19.3795727,-99.1892707
,,,,,19.3702038,-99.147465
,19.5195798,-99.1592115,,,19.3928548,-99.2595099
,19.4050752,-99.2509806,,,41.4925374,-99.9018131
,19.3058149,-99.2004611,,,19.3809507,-99.1366219
,23.634501,-102.552784,,,19.3739692,-99.1861748
,20.5971162,-103.4223812,,,,
,19.3220301,-99.1963595,,,19.3712633,-99.1679701
,19.326932,-99.2015762,,,,
,19.3374306,-99.1682292,,,19.413879,-99.160909
,28.9226583,-13.6680226,,,19.3937744,-99.1883308
,19.3146948,-99.1279306,,,,
,,,,,19.4321195,-99.1897365
,19.3322552,-99.1089562,,,19.3904162,-99.2550003
,19.3244869,-99.1976344,,,19.374567,-99.1604641
,19.4441627,-99.2084993,,,19.4663759,-99.1580385
,19.2840579,-99.2113185,,,,
,19.3430097,-99.2532684,,,20.90526,-97.6679378
,19.341471,-99.1746778,,,19.4340199,-99.1956012
